Year,Sector,SectorShort,AgeLabel,Value
2005,Accommodation & Food Services,Accommodation & Food,50-54,15.1
2005,Accommodation & Food Services,Accommodation & Food,55-59,11.3
2005,Accommodation & Food Services,Accommodation & Food,60-64,5.3
2005,Accommodation & Food Services,Accommodation & Food,65+,4.4
2006,Accommodation & Food Services,Accommodation & Food,15-19,6.7
2006,Accommodation & Food Services,Accommodation & Food,20-24,8.1
2006,Accommodation & Food Services,Accommodation & Food,25-29,8.5
2006,Accommodation & Food Services,Accommodation & Food,30-34,9.2
2006,Accommodation & Food Services,Accommodation & Food,35-39,10.1
2006,Accommodation & Food Services,Accommodation & Food,40-44,17.1
2006,Accommodation & Food Services,Accommodation & Food,45-49,20.5
2006,Accommodation & Food Services,Accommodation & Food,50-54,19.3
2006,Accommodation & Food Services,Accommodation & Food,55-59,15.8
2006,Accommodation & Food Services,Accommodation & Food,60-64,6.5
2006,Accommodation & Food Services,Accommodation & Food,65+,6.9
2007,Accommodation & Food Services,Accommodation & Food,15-19,5.5
2007,Accommodation & Food Services,Accommodation & Food,20-24,7.7
2007,Accommodation & Food Services,Accommodation & Food,25-29,8.7
2007,Accommodation & Food Services,Accommodation & Food,30-34,9.6
2007,Accommodation & Food Services,Accommodation & Food,35-39,9.8
2007,Accommodation & Food Services,Accommodation & Food,40-44,14.6
2007,Accommodation & Food Services,Accommodation & Food,45-49,18.3
2007,Accommodation & Food Services,Accommodation & Food,50-54,19.1
2007,Accommodation & Food Services,Accommodation & Food,55-59,14.8
2007,Accommodation & Food Services,Accommodation & Food,60-64,7.5
2007,Accommodation & Food Services,Accommodation & Food,65+,7.4
2008,Accommodation & Food Services,Accommodation & Food,15-19,4.3
2008,Accommodation & Food Services,Accommodation & Food,20-24,7.4
2008,Accommodation & Food Services,Accommodation & Food,25-29,7.3
2008,Accommodation & Food Services,Accommodation & Food,30-34,8.3
2008,Accommodation & Food Services,Accommodation & Food,35-39,10.9
2008,Accommodation & Food Services,Accommodation & Food,40-44,13.9
2008,Accommodation & Food Services,Accommodation & Food,45-49,17.9
2008,Accommodation & Food Services,Accommodation & Food,50-54,19.8
2008,Accommodation & Food Services,Accommodation & Food,55-59,13.5
2008,Accommodation & Food Services,Accommodation & Food,60-64,8.7
2008,Accommodation & Food Services,Accommodation & Food,65+,7.9
2009,Accommodation & Food Services,Accommodation & Food,15-19,4.6
2009,Accommodation & Food Services,Accommodation & Food,20-24,8.3
2009,Accommodation & Food Services,Accommodation & Food,25-29,9
2009,Accommodation & Food Services,Accommodation & Food,30-34,10.2
2009,Accommodation & Food Services,Accommodation & Food,35-39,10.2
2009,Accommodation & Food Services,Accommodation & Food,40-44,13.3
2009,Accommodation & Food Services,Accommodation & Food,45-49,16.9
2009,Accommodation & Food Services,Accommodation & Food,50-54,18.6
2009,Accommodation & Food Services,Accommodation & Food,55-59,14.6
2009,Accommodation & Food Services,Accommodation & Food,60-64,11.1
2009,Accommodation & Food Services,Accommodation & Food,65+,8.1
2010,Accommodation & Food Services,Accommodation & Food,15-19,5.2
2010,Accommodation & Food Services,Accommodation & Food,20-24,7.9
2010,Accommodation & Food Services,Accommodation & Food,25-29,8
2010,Accommodation & Food Services,Accommodation & Food,30-34,10.4
2010,Accommodation & Food Services,Accommodation & Food,35-39,11.4
2010,Accommodation & Food Services,Accommodation & Food,40-44,13.8
2010,Accommodation & Food Services,Accommodation & Food,45-49,17.6
2010,Accommodation & Food Services,Accommodation & Food,50-54,19.1
2010,Accommodation & Food Services,Accommodation & Food,55-59,16.7
2010,Accommodation & Food Services,Accommodation & Food,60-64,10.6
2010,Accommodation & Food Services,Accommodation & Food,65+,8.4
2011,Accommodation & Food Services,Accommodation & Food,15-19,4.4
2011,Accommodation & Food Services,Accommodation & Food,20-24,10.1
2011,Accommodation & Food Services,Accommodation & Food,25-29,8.2
2011,Accommodation & Food Services,Accommodation & Food,30-34,9.2
2011,Accommodation & Food Services,Accommodation & Food,35-39,12.9
2011,Accommodation & Food Services,Accommodation & Food,40-44,12.2
2011,Accommodation & Food Services,Accommodation & Food,45-49,18.2
2011,Accommodation & Food Services,Accommodation & Food,50-54,19.3
2011,Accommodation & Food Services,Accommodation & Food,55-59,17.2
2011,Accommodation & Food Services,Accommodation & Food,60-64,13.3
2011,Accommodation & Food Services,Accommodation & Food,65+,10.3
2012,Accommodation & Food Services,Accommodation & Food,15-19,4.8
2012,Accommodation & Food Services,Accommodation & Food,20-24,9
2012,Accommodation & Food Services,Accommodation & Food,25-29,7.4
2012,Accommodation & Food Services,Accommodation & Food,30-34,8.8
2012,Accommodation & Food Services,Accommodation & Food,35-39,9.3
2012,Accommodation & Food Services,Accommodation & Food,40-44,13
2012,Accommodation & Food Services,Accommodation & Food,45-49,17.4
2012,Accommodation & Food Services,Accommodation & Food,50-54,19.4
2012,Accommodation & Food Services,Accommodation & Food,55-59,16.6
2012,Accommodation & Food Services,Accommodation & Food,60-64,12.7
2012,Accommodation & Food Services,Accommodation & Food,65+,10.9
2013,Accommodation & Food Services,Accommodation & Food,15-19,5.7
2013,Accommodation & Food Services,Accommodation & Food,20-24,8.7
2013,Accommodation & Food Services,Accommodation & Food,25-29,8.9
2013,Accommodation & Food Services,Accommodation & Food,30-34,9.5
2013,Accommodation & Food Services,Accommodation & Food,35-39,10.1
2013,Accommodation & Food Services,Accommodation & Food,40-44,12.5
2013,Accommodation & Food Services,Accommodation & Food,45-49,14.4
2013,Accommodation & Food Services,Accommodation & Food,50-54,18.2
2013,Accommodation & Food Services,Accommodation & Food,55-59,18.6
2013,Accommodation & Food Services,Accommodation & Food,60-64,15
2013,Accommodation & Food Services,Accommodation & Food,65+,13.6
2014,Accommodation & Food Services,Accommodation & Food,15-19,5.6
2014,Accommodation & Food Services,Accommodation & Food,20-24,9.7
2014,Accommodation & Food Services,Accommodation & Food,25-29,8.7
2014,Accommodation & Food Services,Accommodation & Food,30-34,9.5
2014,Accommodation & Food Services,Accommodation & Food,35-39,10.6
2014,Accommodation & Food Services,Accommodation & Food,40-44,12.9
2014,Accommodation & Food Services,Accommodation & Food,45-49,14.4
2014,Accommodation & Food Services,Accommodation & Food,50-54,19.6
2014,Accommodation & Food Services,Accommodation & Food,55-59,18.6
2014,Accommodation & Food Services,Accommodation & Food,60-64,13.3
2014,Accommodation & Food Services,Accommodation & Food,65+,14.4
2015,Accommodation & Food Services,Accommodation & Food,15-19,5.7
2015,Accommodation & Food Services,Accommodation & Food,20-24,9.8
2015,Accommodation & Food Services,Accommodation & Food,25-29,9.6
2015,Accommodation & Food Services,Accommodation & Food,30-34,8.4
2015,Accommodation & Food Services,Accommodation & Food,35-39,11.4
2015,Accommodation & Food Services,Accommodation & Food,40-44,13.4
2015,Accommodation & Food Services,Accommodation & Food,45-49,14.1
2015,Accommodation & Food Services,Accommodation & Food,50-54,17.8
2015,Accommodation & Food Services,Accommodation & Food,55-59,19.2
2015,Accommodation & Food Services,Accommodation & Food,60-64,14
2015,Accommodation & Food Services,Accommodation & Food,65+,15.6
2016,Accommodation & Food Services,Accommodation & Food,15-19,6
2016,Accommodation & Food Services,Accommodation & Food,20-24,9.7
2016,Accommodation & Food Services,Accommodation & Food,25-29,9.7
2016,Accommodation & Food Services,Accommodation & Food,30-34,8.1
2016,Accommodation & Food Services,Accommodation & Food,35-39,10.5
2016,Accommodation & Food Services,Accommodation & Food,40-44,11.9
2016,Accommodation & Food Services,Accommodation & Food,45-49,14.1
2016,Accommodation & Food Services,Accommodation & Food,50-54,18
2016,Accommodation & Food Services,Accommodation & Food,55-59,18
2016,Accommodation & Food Services,Accommodation & Food,60-64,16
2016,Accommodation & Food Services,Accommodation & Food,65+,16.2
2017,Accommodation & Food Services,Accommodation & Food,15-19,5.3
2017,Accommodation & Food Services,Accommodation & Food,20-24,9.2
2017,Accommodation & Food Services,Accommodation & Food,25-29,7.7
2017,Accommodation & Food Services,Accommodation & Food,30-34,9.1
2017,Accommodation & Food Services,Accommodation & Food,35-39,10.2
2017,Accommodation & Food Services,Accommodation & Food,40-44,12.7
2017,Accommodation & Food Services,Accommodation & Food,45-49,14.3
2017,Accommodation & Food Services,Accommodation & Food,50-54,15.1
2017,Accommodation & Food Services,Accommodation & Food,55-59,16.7
2017,Accommodation & Food Services,Accommodation & Food,60-64,15.9
2017,Accommodation & Food Services,Accommodation & Food,65+,18.1
2018,Accommodation & Food Services,Accommodation & Food,15-19,5.7
2018,Accommodation & Food Services,Accommodation & Food,20-24,9.8
2018,Accommodation & Food Services,Accommodation & Food,25-29,9.8
2018,Accommodation & Food Services,Accommodation & Food,30-34,8.9
2018,Accommodation & Food Services,Accommodation & Food,35-39,9.4
2018,Accommodation & Food Services,Accommodation & Food,40-44,12
2018,Accommodation & Food Services,Accommodation & Food,45-49,13.1
2018,Accommodation & Food Services,Accommodation & Food,50-54,16.4
2018,Accommodation & Food Services,Accommodation & Food,55-59,16.2
2018,Accommodation & Food Services,Accommodation & Food,60-64,14.7
2018,Accommodation & Food Services,Accommodation & Food,65+,18.4
2019,Accommodation & Food Services,Accommodation & Food,15-19,4.9
2019,Accommodation & Food Services,Accommodation & Food,20-24,10.3
2019,Accommodation & Food Services,Accommodation & Food,25-29,7.8
2019,Accommodation & Food Services,Accommodation & Food,30-34,7.7
2019,Accommodation & Food Services,Accommodation & Food,35-39,10.1
2019,Accommodation & Food Services,Accommodation & Food,40-44,11.6
2019,Accommodation & Food Services,Accommodation & Food,45-49,12.9
2019,Accommodation & Food Services,Accommodation & Food,50-54,15.2
2019,Accommodation & Food Services,Accommodation & Food,55-59,17.9
2019,Accommodation & Food Services,Accommodation & Food,60-64,14.4
2019,Accommodation & Food Services,Accommodation & Food,65+,19.2
2020,Accommodation & Food Services,Accommodation & Food,15-19,3.9
2020,Accommodation & Food Services,Accommodation & Food,20-24,6.8
2020,Accommodation & Food Services,Accommodation & Food,25-29,9.8
2020,Accommodation & Food Services,Accommodation & Food,30-34,10
2020,Accommodation & Food Services,Accommodation & Food,35-39,11.7
2020,Accommodation & Food Services,Accommodation & Food,40-44,9.2
2020,Accommodation & Food Services,Accommodation & Food,45-49,12.4
2020,Accommodation & Food Services,Accommodation & Food,50-54,13
2020,Accommodation & Food Services,Accommodation & Food,55-59,16.9
2020,Accommodation & Food Services,Accommodation & Food,60-64,15.5
2020,Accommodation & Food Services,Accommodation & Food,65+,19.7
2021,Accommodation & Food Services,Accommodation & Food,15-19,5.4
2021,Accommodation & Food Services,Accommodation & Food,20-24,7.7
2021,Accommodation & Food Services,Accommodation & Food,25-29,8.1
2021,Accommodation & Food Services,Accommodation & Food,30-34,9.4
2021,Accommodation & Food Services,Accommodation & Food,35-39,9.8
2021,Accommodation & Food Services,Accommodation & Food,40-44,9.9
2021,Accommodation & Food Services,Accommodation & Food,45-49,11.5
2021,Accommodation & Food Services,Accommodation & Food,50-54,12.1
2021,Accommodation & Food Services,Accommodation & Food,55-59,13.3
2021,Accommodation & Food Services,Accommodation & Food,60-64,16.2
2021,Accommodation & Food Services,Accommodation & Food,65+,21.9
2022,Accommodation & Food Services,Accommodation & Food,15-19,4
2022,Accommodation & Food Services,Accommodation & Food,20-24,6.5
2022,Accommodation & Food Services,Accommodation & Food,25-29,8.3
2022,Accommodation & Food Services,Accommodation & Food,30-34,8.8
2022,Accommodation & Food Services,Accommodation & Food,35-39,10.8
2022,Accommodation & Food Services,Accommodation & Food,40-44,12
2022,Accommodation & Food Services,Accommodation & Food,45-49,13.5
2022,Accommodation & Food Services,Accommodation & Food,50-54,11.6
2022,Accommodation & Food Services,Accommodation & Food,55-59,14.5
2022,Accommodation & Food Services,Accommodation & Food,60-64,15.7
2022,Accommodation & Food Services,Accommodation & Food,65+,21
2023,Accommodation & Food Services,Accommodation & Food,15-19,6.2
2023,Accommodation & Food Services,Accommodation & Food,20-24,9.5
2023,Accommodation & Food Services,Accommodation & Food,25-29,7.9
2023,Accommodation & Food Services,Accommodation & Food,30-34,10
2023,Accommodation & Food Services,Accommodation & Food,35-39,11
2023,Accommodation & Food Services,Accommodation & Food,40-44,11.4
2023,Accommodation & Food Services,Accommodation & Food,45-49,10.6
2023,Accommodation & Food Services,Accommodation & Food,50-54,14.8
2023,Accommodation & Food Services,Accommodation & Food,55-59,14.9
2023,Accommodation & Food Services,Accommodation & Food,60-64,17.2
2023,Accommodation & Food Services,Accommodation & Food,65+,26.1
2024,Accommodation & Food Services,Accommodation & Food,15-19,4.5
2024,Accommodation & Food Services,Accommodation & Food,20-24,8.8
2024,Accommodation & Food Services,Accommodation & Food,25-29,9.2
2024,Accommodation & Food Services,Accommodation & Food,30-34,10.5
2024,Accommodation & Food Services,Accommodation & Food,35-39,10.7
2024,Accommodation & Food Services,Accommodation & Food,40-44,11.7
2024,Accommodation & Food Services,Accommodation & Food,45-49,12.4
2024,Accommodation & Food Services,Accommodation & Food,50-54,15.1
2024,Accommodation & Food Services,Accommodation & Food,55-59,16.8
2024,Accommodation & Food Services,Accommodation & Food,60-64,17.4
2024,Accommodation & Food Services,Accommodation & Food,65+,30.4
2000,"Arts, Entertainment & Recreation",Arts & Recreation,15-19,0.4
2000,"Arts, Entertainment & Recreation",Arts & Recreation,20-24,1.6
2000,"Arts, Entertainment & Recreation",Arts & Recreation,25-29,2.7
2000,"Arts, Entertainment & Recreation",Arts & Recreation,30-34,2.8
2000,"Arts, Entertainment & Recreation",Arts & Recreation,35-39,2.6
2000,"Arts, Entertainment & Recreation",Arts & Recreation,40-44,2.6
2000,"Arts, Entertainment & Recreation",Arts & Recreation,45-49,2.4
2000,"Arts, Entertainment & Recreation",Arts & Recreation,50-54,2
2000,"Arts, Entertainment & Recreation",Arts & Recreation,55-59,1
2000,"Arts, Entertainment & Recreation",Arts & Recreation,60-64,0.7
2000,"Arts, Entertainment & Recreation",Arts & Recreation,65+,0.5
2001,"Arts, Entertainment & Recreation",Arts & Recreation,15-19,0.4
2001,"Arts, Entertainment & Recreation",Arts & Recreation,20-24,1.2
2001,"Arts, Entertainment & Recreation",Arts & Recreation,25-29,1.5
2001,"Arts, Entertainment & Recreation",Arts & Recreation,30-34,1.2
2001,"Arts, Entertainment & Recreation",Arts & Recreation,35-39,1.7
2001,"Arts, Entertainment & Recreation",Arts & Recreation,40-44,2.3
2001,"Arts, Entertainment & Recreation",Arts & Recreation,45-49,1.4
2001,"Arts, Entertainment & Recreation",Arts & Recreation,50-54,1.8
2001,"Arts, Entertainment & Recreation",Arts & Recreation,55-59,0.9
2001,"Arts, Entertainment & Recreation",Arts & Recreation,60-64,0.8
2001,"Arts, Entertainment & Recreation",Arts & Recreation,65+,0.4
2002,"Arts, Entertainment & Recreation",Arts & Recreation,15-19,0.2
2002,"Arts, Entertainment & Recreation",Arts & Recreation,20-24,1.1
2002,"Arts, Entertainment & Recreation",Arts & Recreation,25-29,1.5
2002,"Arts, Entertainment & Recreation",Arts & Recreation,30-34,1.5
2002,"Arts, Entertainment & Recreation",Arts & Recreation,35-39,1.9
2002,"Arts, Entertainment & Recreation",Arts & Recreation,40-44,2.3
2002,"Arts, Entertainment & Recreation",Arts & Recreation,45-49,2.4
2002,"Arts, Entertainment & Recreation",Arts & Recreation,50-54,1.8
2002,"Arts, Entertainment & Recreation",Arts & Recreation,55-59,1.3
2002,"Arts, Entertainment & Recreation",Arts & Recreation,60-64,0.6
2002,"Arts, Entertainment & Recreation",Arts & Recreation,65+,0.7
2003,"Arts, Entertainment & Recreation",Arts & Recreation,15-19,0.1
2003,"Arts, Entertainment & Recreation",Arts & Recreation,20-24,0.9
2003,"Arts, Entertainment & Recreation",Arts & Recreation,25-29,1.6
2003,"Arts, Entertainment & Recreation",Arts & Recreation,30-34,2.1
2003,"Arts, Entertainment & Recreation",Arts & Recreation,35-39,1.1
2003,"Arts, Entertainment & Recreation",Arts & Recreation,40-44,2.4
2003,"Arts, Entertainment & Recreation",Arts & Recreation,45-49,2
2003,"Arts, Entertainment & Recreation",Arts & Recreation,50-54,1.9
2003,"Arts, Entertainment & Recreation",Arts & Recreation,55-59,1.3
2003,"Arts, Entertainment & Recreation",Arts & Recreation,60-64,0.5
2003,"Arts, Entertainment & Recreation",Arts & Recreation,65+,0.5
2004,"Arts, Entertainment & Recreation",Arts & Recreation,15-19,0.2
2004,"Arts, Entertainment & Recreation",Arts & Recreation,20-24,0.8
2004,"Arts, Entertainment & Recreation",Arts & Recreation,25-29,2
2004,"Arts, Entertainment & Recreation",Arts & Recreation,30-34,2.1
2004,"Arts, Entertainment & Recreation",Arts & Recreation,35-39,2
2004,"Arts, Entertainment & Recreation",Arts & Recreation,40-44,1.8
2004,"Arts, Entertainment & Recreation",Arts & Recreation,45-49,1.9
2004,"Arts, Entertainment & Recreation",Arts & Recreation,50-54,1.3
2004,"Arts, Entertainment & Recreation",Arts & Recreation,55-59,1.2
2004,"Arts, Entertainment & Recreation",Arts & Recreation,60-64,0.4
2004,"Arts, Entertainment & Recreation",Arts & Recreation,65+,0.4
2005,"Arts, Entertainment & Recreation",Arts & Recreation,15-19,0.2
2005,"Arts, Entertainment & Recreation",Arts & Recreation,20-24,1.4
2005,"Arts, Entertainment & Recreation",Arts & Recreation,25-29,2.3
2005,"Arts, Entertainment & Recreation",Arts & Recreation,30-34,2.3
2005,"Arts, Entertainment & Recreation",Arts & Recreation,35-39,2.3
2005,"Arts, Entertainment & Recreation",Arts & Recreation,40-44,2.5
2005,"Arts, Entertainment & Recreation",Arts & Recreation,45-49,2.6
2005,"Arts, Entertainment & Recreation",Arts & Recreation,50-54,2.1
2005,"Arts, Entertainment & Recreation",Arts & Recreation,55-59,1.5
2005,"Arts, Entertainment & Recreation",Arts & Recreation,60-64,0.6
2005,"Arts, Entertainment & Recreation",Arts & Recreation,65+,0.6
2006,"Arts, Entertainment & Recreation",Arts & Recreation,15-19,0.3
2006,"Arts, Entertainment & Recreation",Arts & Recreation,20-24,1.7
2006,"Arts, Entertainment & Recreation",Arts & Recreation,25-29,3.6
2006,"Arts, Entertainment & Recreation",Arts & Recreation,30-34,2.5
2006,"Arts, Entertainment & Recreation",Arts & Recreation,35-39,2.1
2006,"Arts, Entertainment & Recreation",Arts & Recreation,40-44,2.2
2006,"Arts, Entertainment & Recreation",Arts & Recreation,45-49,2.1
2006,"Arts, Entertainment & Recreation",Arts & Recreation,50-54,2.4
2006,"Arts, Entertainment & Recreation",Arts & Recreation,55-59,1.5
2006,"Arts, Entertainment & Recreation",Arts & Recreation,60-64,0.8
2006,"Arts, Entertainment & Recreation",Arts & Recreation,65+,0.5
2007,"Arts, Entertainment & Recreation",Arts & Recreation,15-19,0.6
2007,"Arts, Entertainment & Recreation",Arts & Recreation,20-24,2.1
2007,"Arts, Entertainment & Recreation",Arts & Recreation,25-29,3.1
2007,"Arts, Entertainment & Recreation",Arts & Recreation,30-34,2.5
2007,"Arts, Entertainment & Recreation",Arts & Recreation,35-39,2
2007,"Arts, Entertainment & Recreation",Arts & Recreation,40-44,3.2
2007,"Arts, Entertainment & Recreation",Arts & Recreation,45-49,2.8
2007,"Arts, Entertainment & Recreation",Arts & Recreation,50-54,2.7
2007,"Arts, Entertainment & Recreation",Arts & Recreation,55-59,1.7
2007,"Arts, Entertainment & Recreation",Arts & Recreation,60-64,0.8
2007,"Arts, Entertainment & Recreation",Arts & Recreation,65+,0.6
2008,"Arts, Entertainment & Recreation",Arts & Recreation,15-19,0.6
2008,"Arts, Entertainment & Recreation",Arts & Recreation,20-24,1.6
2008,"Arts, Entertainment & Recreation",Arts & Recreation,25-29,2.4
2008,"Arts, Entertainment & Recreation",Arts & Recreation,30-34,2.6
2008,"Arts, Entertainment & Recreation",Arts & Recreation,35-39,2.7
2008,"Arts, Entertainment & Recreation",Arts & Recreation,40-44,2.8
2008,"Arts, Entertainment & Recreation",Arts & Recreation,45-49,3
2008,"Arts, Entertainment & Recreation",Arts & Recreation,50-54,2.2
2008,"Arts, Entertainment & Recreation",Arts & Recreation,55-59,1.5
2008,"Arts, Entertainment & Recreation",Arts & Recreation,60-64,0.9
2008,"Arts, Entertainment & Recreation",Arts & Recreation,65+,0.7
2009,"Arts, Entertainment & Recreation",Arts & Recreation,15-19,0.8
2009,"Arts, Entertainment & Recreation",Arts & Recreation,20-24,2.2
2009,"Arts, Entertainment & Recreation",Arts & Recreation,25-29,3.4
2009,"Arts, Entertainment & Recreation",Arts & Recreation,30-34,2.8
2009,"Arts, Entertainment & Recreation",Arts & Recreation,35-39,2.3
2009,"Arts, Entertainment & Recreation",Arts & Recreation,40-44,2.5
2009,"Arts, Entertainment & Recreation",Arts & Recreation,45-49,2.7
2009,"Arts, Entertainment & Recreation",Arts & Recreation,50-54,2.5
2009,"Arts, Entertainment & Recreation",Arts & Recreation,55-59,1.5
2009,"Arts, Entertainment & Recreation",Arts & Recreation,60-64,1.2
2009,"Arts, Entertainment & Recreation",Arts & Recreation,65+,0.6
2010,"Arts, Entertainment & Recreation",Arts & Recreation,15-19,1.1
2010,"Arts, Entertainment & Recreation",Arts & Recreation,20-24,3.8
2010,"Arts, Entertainment & Recreation",Arts & Recreation,25-29,4.8
2010,"Arts, Entertainment & Recreation",Arts & Recreation,30-34,3.9
2010,"Arts, Entertainment & Recreation",Arts & Recreation,35-39,4
2010,"Arts, Entertainment & Recreation",Arts & Recreation,40-44,3.7
2010,"Arts, Entertainment & Recreation",Arts & Recreation,45-49,3.4
2010,"Arts, Entertainment & Recreation",Arts & Recreation,50-54,3.5
2010,"Arts, Entertainment & Recreation",Arts & Recreation,55-59,2
2010,"Arts, Entertainment & Recreation",Arts & Recreation,60-64,1.4
2010,"Arts, Entertainment & Recreation",Arts & Recreation,65+,1.1
2011,"Arts, Entertainment & Recreation",Arts & Recreation,15-19,0.8
2011,"Arts, Entertainment & Recreation",Arts & Recreation,20-24,3.7
2011,"Arts, Entertainment & Recreation",Arts & Recreation,25-29,5.6
2011,"Arts, Entertainment & Recreation",Arts & Recreation,30-34,4.3
2011,"Arts, Entertainment & Recreation",Arts & Recreation,35-39,3.7
2011,"Arts, Entertainment & Recreation",Arts & Recreation,40-44,3.1
2011,"Arts, Entertainment & Recreation",Arts & Recreation,45-49,3.6
2011,"Arts, Entertainment & Recreation",Arts & Recreation,50-54,3.5
2011,"Arts, Entertainment & Recreation",Arts & Recreation,55-59,2.8
2011,"Arts, Entertainment & Recreation",Arts & Recreation,60-64,1.6
2011,"Arts, Entertainment & Recreation",Arts & Recreation,65+,0.9
2012,"Arts, Entertainment & Recreation",Arts & Recreation,15-19,1.2
2012,"Arts, Entertainment & Recreation",Arts & Recreation,20-24,5.6
2012,"Arts, Entertainment & Recreation",Arts & Recreation,25-29,5.1
2012,"Arts, Entertainment & Recreation",Arts & Recreation,30-34,4.4
2012,"Arts, Entertainment & Recreation",Arts & Recreation,35-39,5.1
2012,"Arts, Entertainment & Recreation",Arts & Recreation,40-44,3.8
2012,"Arts, Entertainment & Recreation",Arts & Recreation,45-49,3.7
2012,"Arts, Entertainment & Recreation",Arts & Recreation,50-54,4.2
2012,"Arts, Entertainment & Recreation",Arts & Recreation,55-59,2.4
2012,"Arts, Entertainment & Recreation",Arts & Recreation,60-64,2.4
2012,"Arts, Entertainment & Recreation",Arts & Recreation,65+,1
2013,"Arts, Entertainment & Recreation",Arts & Recreation,15-19,0.8
2013,"Arts, Entertainment & Recreation",Arts & Recreation,20-24,4
2013,"Arts, Entertainment & Recreation",Arts & Recreation,25-29,5.8
2013,"Arts, Entertainment & Recreation",Arts & Recreation,30-34,5.1
2013,"Arts, Entertainment & Recreation",Arts & Recreation,35-39,4.2
2013,"Arts, Entertainment & Recreation",Arts & Recreation,40-44,3.8
2013,"Arts, Entertainment & Recreation",Arts & Recreation,45-49,3.7
2013,"Arts, Entertainment & Recreation",Arts & Recreation,50-54,3.6
2013,"Arts, Entertainment & Recreation",Arts & Recreation,55-59,3.2
2013,"Arts, Entertainment & Recreation",Arts & Recreation,60-64,1.9
